date,match_id,team_1_name,team_1_goalsScored,team_1_halfTimeGoalsScored,team_1_cornerCount,team_1_shots,team_1_shotsOnTarget,team_1_foulsConceded,team_1_yellowConceded,team_1_redConceded,team_1_result,team_1_goalsConceded,team_1_halfTimeGoalsConceded,team_1_cornersConceded,team_1_shotsConceded,team_1_shotsOnTargetConceded,team_1_foulsReceived,team_1_yellowOpponent,team_1_redOpponent,team_1_home_or_away,team_1_average_goalsScored_last_five,team_1_average_halfTimeGoalsScored_last_five,team_1_average_cornerCount_last_five,team_1_average_shots_last_five,team_1_average_shotsOnTarget_last_five,team_1_average_foulsConceded_last_five,team_1_average_yellowConceded_last_five,team_1_average_redConceded_last_five,team_1_average_result_last_five,team_1_average_goalsConceded_last_five,team_1_average_halfTimeGoalsConceded_last_five,team_1_average_cornersConceded_last_five,team_1_average_shotsConceded_last_five,team_1_average_shotsOnTargetConceded_last_five,team_1_average_foulsReceived_last_five,team_1_average_yellowOpponent_last_five,team_1_average_redOpponent_last_five,team_1_promoted,team_1_win_streak_before_match,team_1_unbeaten_streak_before_match,team_2_name,team_2_goalsScored,team_2_halfTimeGoalsScored,team_2_cornerCount,team_2_shots,team_2_shotsOnTarget,team_2_foulsConceded,team_2_yellowConceded,team_2_redConceded,team_2_result,team_2_goalsConceded,team_2_halfTimeGoalsConceded,team_2_cornersConceded,team_2_shotsConceded,team_2_shotsOnTargetConceded,team_2_foulsReceived,team_2_yellowOpponent,team_2_redOpponent,team_2_home_or_away,team_2_average_goalsScored_last_five,team_2_average_halfTimeGoalsScored_last_five,team_2_average_cornerCount_last_five,team_2_average_shots_last_five,team_2_average_shotsOnTarget_last_five,team_2_average_foulsConceded_last_five,team_2_average_yellowConceded_last_five,team_2_average_redConceded_last_five,team_2_average_result_last_five,team_2_average_goalsConceded_last_five,team_2_average_halfTimeGoalsConceded_last_five,team_2_average_cornersConceded_last_five,team_2_average_shotsConceded_last_five,team_2_average_shotsOnTargetConceded_last_five,team_2_average_foulsReceived_last_five,team_2_average_yellowOpponent_last_five,team_2_average_redOpponent_last_five,team_2_promoted,team_2_win_streak_before_match,team_2_unbeaten_streak_before_match
2000-12-30,213655,Arsenal,2,2,11,17,9,14,0,0,1.0,2,0,1,14,7,18,3,0,Home,2.6,0.6,9.0,19.0,10.6,13.2,0.2,0.0,2.0,1.2,0.4,3.8,6.4,3.6,15.0,1.8,0.0,0,1,1,Sunderland,2,0,1,14,7,18,3,0,1.0,2,2,11,17,9,14,0,0,Away,1.6,0.6,6.8,14.8,7.6,17.8,1.4,0.0,2.4,0.6,0.2,6.0,10.4,4.2,19.0,2.6,0.0,0,2,2
2001-01-13,213671,Arsenal,1,1,10,15,8,13,1,0,1.0,1,0,3,12,8,15,4,0,Home,1.8,0.6,9.4,16.6,9.0,13.6,0.4,0.0,1.0,1.8,0.6,3.2,9.0,4.6,16.4,1.6,0.0,0,0,0,Chelsea,1,0,3,12,8,15,4,0,1.0,1,1,10,15,8,13,1,0,Away,2.0,1.4,3.4,13.0,6.0,11.2,1.2,0.0,2.0,0.8,0.2,5.2,9.0,4.8,12.8,0.4,0.0,0,1,3
2001-01-30,213692,Arsenal,2,2,6,20,8,12,1,0,3.0,0,0,3,6,2,14,2,0,Home,1.8,0.8,11.2,16.4,8.2,12.2,0.8,0.0,1.2,1.0,0.2,2.2,8.0,4.2,13.0,2.0,0.2,0,0,2,Bradford,0,0,3,6,2,14,2,0,0.0,2,2,6,20,8,12,1,0,Away,0.6,0.4,4.8,8.4,2.8,13.4,1.6,0.0,0.8,2.2,0.6,7.0,15.2,7.8,11.4,0.0,0.0,0,0,1
2001-02-10,213711,Arsenal,1,0,11,17,10,16,2,0,3.0,0,0,3,5,3,15,1,0,Home,0.8,0.6,8.8,13.2,6.2,11.8,1.8,0.0,1.6,0.4,0.2,3.2,8.4,3.6,12.6,2.4,0.2,0,2,4,Ipswich,0,0,3,5,3,15,1,0,0.0,1,0,11,17,10,16,2,0,Away,1.6,0.6,5.0,13.0,5.8,11.8,1.4,0.4,1.2,2.0,0.8,5.0,12.2,5.6,13.6,1.4,0.0,0,0,0
2001-03-03,213730,Arsenal,3,3,5,16,6,19,2,0,3.0,0,0,6,4,2,12,3,0,Home,1.0,0.6,7.2,12.8,6.0,11.2,1.8,0.0,2.0,1.2,1.0,2.6,8.4,3.6,11.6,1.6,0.2,0,0,0,West Ham,0,0,6,4,2,12,3,0,0.0,3,3,5,16,6,19,2,0,Away,0.8,0.2,4.6,15.0,5.2,9.2,1.4,0.2,1.2,1.2,0.6,4.0,13.0,5.6,12.2,1.4,0.0,0,1,2
2001-03-31,213752,Arsenal,2,0,12,25,19,5,0,0,3.0,0,0,2,4,3,6,1,0,Home,1.2,0.8,5.8,12.2,5.8,13.6,2.0,0.2,2.0,1.2,1.0,3.6,8.2,4.0,13.2,1.8,0.0,0,0,2,Tottenham,0,0,2,4,3,6,1,0,0.0,2,0,12,25,19,5,0,0,Away,1.2,0.6,4.4,11.6,4.4,13.6,1.4,0.0,1.4,0.8,0.6,7.2,10.4,4.8,15.0,1.0,0.0,0,1,1
2001-04-14,213775,Arsenal,0,0,9,17,8,13,1,0,0.0,3,2,0,6,2,11,1,0,Home,2.0,1.6,5.2,15.2,8.0,10.2,0.8,0.2,2.0,1.2,1.0,4.2,7.0,3.6,10.8,1.6,0.0,0,2,4,Middlesbrough,3,2,0,6,2,11,1,0,3.0,0,0,9,17,8,13,1,0,Away,0.6,0.4,2.8,9.0,4.2,14.6,2.2,0.4,1.0,0.8,0.2,4.4,13.2,5.4,15.2,1.2,0.0,0,0,1
2001-04-21,213790,Arsenal,4,1,10,10,8,7,0,0,3.0,1,1,0,4,2,13,2,1,Home,1.8,1.4,6.4,17.4,9.2,11.6,1.0,0.2,2.0,0.6,0.4,3.6,5.0,2.2,11.0,1.8,0.0,0,0,0,Everton,1,1,0,4,2,13,2,1,0.0,4,1,10,10,8,7,0,0,Away,1.6,1.0,4.2,8.2,5.0,16.8,2.0,0.4,1.2,1.4,0.6,6.4,13.0,5.4,15.0,1.8,0.4,0,0,0
2001-05-05,213812,Arsenal,2,1,11,7,4,21,4,0,3.0,1,0,2,4,3,18,3,0,Home,2.4,1.2,8.0,16.2,10.4,9.2,1.0,0.0,2.4,1.0,0.8,2.6,5.4,2.2,10.8,1.8,0.2,0,2,2,Leeds,1,0,2,4,3,18,3,0,0.0,2,1,11,7,4,21,4,0,Away,2.0,1.0,5.8,11.8,6.0,14.2,1.4,0.4,3.0,0.2,0.0,5.0,10.6,6.0,16.2,3.0,0.2,0,6,13
2001-08-21,213847,Arsenal,1,1,10,14,5,28,4,0,0.0,2,1,2,5,2,29,5,2,Home,2.0,0.8,7.2,10.2,5.6,14.6,2.6,0.2,2.0,1.0,0.2,3.8,7.8,3.2,15.2,2.0,0.2,0,1,1,Leeds,2,1,2,5,2,29,5,2,3.0,1,1,10,14,5,28,4,0,Away,2.8,1.2,8.0,15.6,7.6,18.0,2.0,0.0,2.4,0.8,0.6,5.6,9.2,5.4,18.4,3.0,0.2,0,3,3
2001-08-25,213852,Arsenal,4,2,9,20,11,14,1,1,3.0,0,0,0,2,0,20,4,1,Home,1.8,0.8,8.0,10.2,4.8,17.6,2.6,0.2,1.4,1.2,0.2,3.4,7.6,3.2,18.2,2.4,0.6,0,0,0,Leicester,0,0,0,2,0,20,4,1,0.0,4,2,9,20,11,14,1,1,Away,1.0,0.4,5.2,10.4,4.4,15.2,3.0,0.0,0.6,2.8,1.2,7.2,17.2,7.2,14.2,2.0,0.0,0,0,0
2001-09-22,213885,Arsenal,1,0,17,23,12,9,1,0,1.0,1,0,0,7,4,11,1,1,Home,2.6,1.2,7.2,14.6,8.4,20.2,3.4,0.4,2.0,0.8,0.4,2.6,5.8,2.4,20.0,3.0,1.0,0,1,3,Bolton,1,0,0,7,4,11,1,1,1.0,1,0,17,23,12,9,1,0,Away,0.8,0.4,3.8,9.2,3.2,15.0,1.8,0.0,1.6,0.6,0.0,5.4,14.0,6.2,14.6,1.0,0.0,1,0,1
2001-10-20,213916,Arsenal,3,0,5,18,11,13,1,0,1.0,3,1,4,9,5,20,2,0,Home,1.8,0.8,7.8,16.0,8.6,15.4,2.8,0.2,2.2,0.6,0.2,2.4,6.6,3.4,16.4,2.0,0.6,0,2,6,Blackburn,3,1,4,9,5,20,2,0,1.0,3,0,5,18,11,13,1,0,Away,2.0,0.8,8.6,13.4,6.6,14.0,1.0,0.0,1.6,1.0,0.4,4.2,12.2,5.8,11.0,2.8,0.2,1,1,1
2001-11-04,213945,Arsenal,2,1,4,26,12,9,3,0,0.0,4,2,6,9,4,11,2,0,Home,1.8,0.6,7.8,17.4,8.4,14.4,1.8,0.2,1.8,1.0,0.2,2.8,7.2,4.0,15.2,2.2,0.4,0,0,8,Charlton,4,2,6,9,4,11,2,0,3.0,2,1,4,26,12,9,3,0,Away,0.6,0.2,7.8,10.2,5.4,11.4,0.6,0.2,1.0,0.8,0.8,3.4,10.2,5.0,11.0,1.4,0.4,0,0,0
2001-11-25,213965,Arsenal,3,0,11,14,10,12,2,0,3.0,1,1,2,2,1,19,3,0,Home,1.8,0.6,5.4,16.8,8.2,13.8,1.8,0.0,1.2,1.8,0.6,5.4,8.0,3.8,15.2,2.2,0.2,0,0,1,Man Utd,1,1,2,2,1,19,3,0,0.0,3,0,11,14,10,12,2,0,Away,1.6,0.6,5.8,13.6,6.0,13.0,1.0,0.0,1.4,1.4,0.6,2.0,10.0,4.8,10.4,0.8,0.0,0,1,1
2001-12-09,213987,Arsenal,3,0,9,15,8,18,4,0,3.0,2,2,3,8,5,14,0,0,Home,1.8,0.6,6.4,13.2,7.0,13.6,2.2,0.0,1.6,1.4,0.6,7.2,7.4,3.4,12.8,2.0,0.0,0,2,3,Aston Villa,2,2,3,8,5,14,0,0,0.0,3,0,9,15,8,18,4,0,Away,0.4,0.4,6.4,11.2,5.4,12.2,1.4,0.2,0.6,1.4,0.6,7.2,12.8,6.0,12.6,2.0,0.2,0,0,1
2001-12-18,214003,Arsenal,1,1,4,19,8,10,3,1,0.0,3,0,4,4,3,19,3,1,Home,2.0,0.4,7.4,11.4,6.4,13.8,2.4,0.0,2.2,1.0,0.8,6.6,6.8,3.2,13.0,1.8,0.0,0,0,5,Newcastle,3,0,4,4,3,19,3,1,3.0,1,1,4,19,8,10,3,1,Away,1.2,0.4,6.2,11.6,5.6,10.0,2.0,0.2,2.0,1.0,0.6,5.4,9.6,6.0,9.8,1.8,0.0,0,2,4
2001-12-26,214014,Arsenal,2,0,4,11,7,18,2,0,3.0,1,1,5,9,3,21,4,0,Home,1.8,0.8,5.6,13.6,5.6,14.2,3.2,0.4,2.0,1.4,0.6,6.4,8.4,3.2,11.8,1.6,0.2,0,1,1,Chelsea,1,1,5,9,3,21,4,0,0.0,2,0,4,11,7,18,2,0,Away,2.4,1.0,5.0,15.2,5.6,13.2,2.2,0.0,2.0,0.4,0.2,4.8,12.0,5.6,12.2,1.8,0.0,0,2,3
